name,region,year,population,Deaths,income,lifeExpectancy
Greater London,Neoplasms,1994,4312.939714,183.0714693,157.3861473,4155.553584
Greater London,other conditions,1994,17173.67394,225.8611706,11243.24035,5930.4348
Greater London,Cardiovascular diseases,1995,4781.511993,256.5098084,321.7585455,4459.753482
Greater London,Neoplasms,1995,4317.098491,183.2318115,160.6464005,4156.452107
Greater London,other conditions,1995,17192.10392,229.6222093,11242.42703,5949.678104
Greater London,Cardiovascular diseases,1996,4598.898829,246.6533678,319.1296249,4279.769238
Greater London,Neoplasms,1996,4235.502764,179.966345,160.7696481,4074.733134
Greater London,other conditions,1996,17089.23127,227.1638616,11260.52421,5828.708284
Greater London,Cardiovascular diseases,1997,4360.38128,234.1084384,316.2313633,4044.149951
Greater London,Neoplasms,1997,4109.026046,175.3134032,159.7465863,3949.279477
Greater London,other conditions,1997,16935.36783,222.8103834,11287.82223,5647.546818
Greater London,Cardiovascular diseases,1998,4248.585348,227.7237656,313.0252302,3935.560151
Greater London,Neoplasms,1998,4070.662844,174.1953804,161.6331266,3909.029735
Greater London,other conditions,1998,16923.70626,221.8037381,11318.46573,5605.241748
Greater London,Cardiovascular diseases,1999,4076.729699,219.8477606,309.638775,3767.090958
Greater London,Neoplasms,1999,3980.511399,171.4142018,162.1709874,3818.340429
Greater London,other conditions,1999,16882.61957,220.7488536,11341.88301,5540.737787
Greater London,Cardiovascular diseases,2000,3921.814666,212.1052237,306.0619151,3615.752784
Greater London,Neoplasms,2000,3918.148307,168.9559558,162.8306332,3755.317692
Greater London,other conditions,2000,16762.98456,217.0603658,11345.65333,5417.332462
Greater London,Cardiovascular diseases,2001,3749.091282,202.7379485,300.9757649,3448.11555
Greater London,Neoplasms,2001,3821.360924,164.989199,162.7181706,3658.642771
Greater London,other conditions,2001,16643.26747,209.4881862,11333.09282,5310.175872
Greater London,Cardiovascular diseases,2002,3620.705499,196.5459898,293.869959,3326.835572
Greater London,Neoplasms,2002,3764.748156,163.2917547,163.8561016,3600.892073
Greater London,other conditions,2002,16495.18731,206.4105531,11311.51664,5183.671893
Greater London,Cardiovascular diseases,2003,3483.356532,190.193734,286.1084943,3197.248068
Greater London,Neoplasms,2003,3699.301774,161.1773566,165.1314972,3534.170295
Greater London,other conditions,2003,16392.56932,204.8370171,11292.08971,5100.480826
Greater London,Cardiovascular diseases,2004,3226.200535,176.1011058,279.1452187,2947.055347
Greater London,Neoplasms,2004,3554.128563,155.50522,162.1467786,3391.981802
Greater London,other conditions,2004,16102.56171,195.7948058,11268.49394,4834.06899
Greater London,Cardiovascular diseases,2005,3031.410639,164.530933,274.267543,2757.143126
Greater London,Neoplasms,2005,3439.622619,150.8239923,160.5435436,3279.079093
Greater London,other conditions,2005,15950.59063,190.0981331,11252.78674,4697.805102
Greater London,Cardiovascular diseases,2006,2900.737796,155.8175416,271.2639544,2629.47387
Greater London,Neoplasms,2006,3411.434448,149.0386108,161.4767673,3249.957698
Greater London,other conditions,2006,15884.19873,186.7567728,11227.73706,4656.462884
Greater London,Cardiovascular diseases,2007,2727.400857,146.2370376,269.0171296,2458.383756
Greater London,Neoplasms,2007,3318.912455,145.4011995,160.6970118,3158.21546
Greater London,other conditions,2007,15699.07077,181.4930362,11183.33491,4515.737063
Greater London,Cardiovascular diseases,2008,2635.568656,141.1504692,267.3544589,2368.214226
Greater London,Neoplasms,2008,3282.966532,144.3008454,162.8485238,3120.118026
Greater London,other conditions,2008,15575.11433,179.5838218,11133.04013,4442.075408
Greater London,Cardiovascular diseases,2009,2490.076374,132.8862847,266.3274131,2223.74899
Greater London,Neoplasms,2009,3187.574877,140.563385,161.4404411,3026.134454
Greater London,other conditions,2009,15401.05175,174.1028444,11092.7604,4308.292546
Greater London,Cardiovascular diseases,2010,2407.887046,128.2384219,265.7761652,2142.11091
